id,name,sector,stage,ticket_size_min,ticket_size_max,state,description,eligibility_summary,deadline,application_link,ministry
1,Startup India Seed Fund,All,Pre-Seed,5000,500000,All,Government of India fund to support innovative startups in the country,Must be incorporated as a private limited company; registered as a startup; less than 5 years old; not funded more than ₹10 lakh in any previous scheme,Ongoing,https://www.startupindia.gov.in/sif,Ministry of Commerce & Industry
2,DSIR Early Stage Innovation Fund,Deep Tech,Idea,200000,5000000,All,Department of Scientific and Industrial Research fund for early stage deep tech innovation,Can be individual researchers or teams; working on scientific/industrial research; not yet commercialized,Ongoing,https://www.dsir.gov.in,Ministry of Science & Technology
3,DPIIT Technology Fund,All,Pre-Seed,1000000,5000000,All,Department for Promotion of Industry and Internal Trade fund for technology-driven startups,Innovative technology startups; less than 7 years old; tech-focused business model,Quarterly,https://www.dpiit.gov.in,Ministry of Commerce & Industry
4,National Science Olympiad Grant,All,Idea,50000,500000,All,Support for young innovators participating in science competitions,Students/young researchers with innovative ideas; science/tech background,Ongoing,https://www.nao.nic.in,Ministry of Science & Technology
5,NASSCOM 10000 Startups,All,Seed,500000,2000000,All,Program to accelerate 10000 startups across India,Registered startup; working on innovative business model; based in India,Rolling,https://10000startups.nasscom.in,NASSCOM
6,SIDBI Stand Up India Loan Scheme,All,Pre-Seed,1000000,1000000,All,Low-interest loans from Small Industries Development Bank for startups,First generation entrepreneur; SC/ST category; woman entrepreneur; business plan ready,Ongoing,https://www.sidbi.in,Ministry of Micro Small Medium Enterprises
7,Pradhan Mantri MUDRA Yojana,All,Idea,50000,1000000,All,Collateral-free loans for small businesses and startups,Business plan ready; no existing loan; genuine business case,Ongoing,https://www.mudra.org.in,Ministry of Finance
8,National Startup Award,All,All,500000,5000000,All,Recognition and funding for startups solving critical challenges,Startups working on critical areas; less than 10 years old; Indian registered,Annual,https://www.startupindia.gov.in/awards,Ministry of Commerce & Industry
9,Invest India Venture Capital Fund,All,Seed,2000000,10000000,All,Government-backed VC fund for scaling startups,Series A+ stage; strong business fundamentals; Indian company,Rolling,https://www.investindia.gov.in,Ministry of Commerce & Industry
10,Karnataka Startup Policy Grant,All,Pre-Seed,500000,2000000,Karnataka,Karnataka government grant for startups registered in the state,Registered in Karnataka; less than 5 years old; tech/innovation focused,Rolling,https://www.startupkarnataka.in,Government of Karnataka
11,Maharashtra Innovation Scheme,All,All,1000000,5000000,Maharashtra,Support for innovative startups in Maharashtra,Registered in Maharashtra; innovative business model; job creation potential,Rolling,https://www.mahainnovation.gov.in,Government of Maharashtra
12,NASSCOM Technology Platform,All,Seed,1000000,3000000,All,Platform for SaaS startups to scale globally,SaaS business model; minimum ₹50 lakh revenue; export potential,Rolling,https://nasscom.in,NASSCOM
13,Biotechnology Ignition Grant,Biotech,Pre-Seed,500000,2000000,All,Support for biotech startups from Department of Biotechnology,Working on biotech/life sciences; registered company; research-backed,Ongoing,https://dbtindia.gov.in,Ministry of Science & Technology
14,Indian Angel Network Fund,All,Seed,1000000,5000000,All,Angel investment network supporting early stage startups,Innovative business model; strong founding team; scalable idea,Rolling,https://www.indianangelnetwork.com,Indian Angel Network
15,Agritech Accelerator Fund,Agritech,All,500000,2000000,All,Support for agricultural technology startups,Agritech business model; solving farmer problems; impact focus,Rolling,https://www.agriculturefund.in,Ministry of Agriculture
16,HealthTech Innovation Fund,HealthTech,Seed,1000000,5000000,All,Support for healthcare technology startups,HealthTech business model; regulatory compliance ready; impact potential,Rolling,https://www.healthtechfund.in,Ministry of Health
17,EdTech Acceleration Program,EdTech,Seed,500000,3000000,All,Support for educational technology startups,EdTech business model; proven user engagement; scalable content,Rolling,https://www.edfundingnetwork.in,Ministry of Education
18,Government e-Marketplace Grant,All,All,500000,5000000,All,Support for startups selling on GeM portal,Registered on GeM; B2B model; government procurement focus,Rolling,https://gem.gov.in,Department of Commerce
19,STPI Export Promotion Scheme,All,Pre-Seed,1000000,3000000,All,Support for IT/ITES startups with export potential,Export-focused IT startup; registered with STPI; minimum team of 3,Rolling,https://www.stpi.in,Ministry of Electronics & IT
20,Fintech Regulatory Sandbox,Fintech,Seed,2000000,10000000,All,RBI sandbox for fintech innovation and testing,Fintech business model; regulatory compliant; innovative solution,Rolling,https://www.rbi.org.in,Reserve Bank of India
21,Women Entrepreneurs Advancement Program,All,Pre-Seed,500000,2000000,All,Special grants and support for women-led startups,Woman founder/co-founder; innovative business model; registered company,Ongoing,https://www.womenentrepreneurs.gov.in,Ministry of Women & Child Development
22,Green Tech Innovation Fund,All,All,1000000,5000000,All,Support for environmentally sustainable technology startups,Green tech focus; environmental impact; sustainable business model,Rolling,https://www.greentechindia.gov.in,Ministry of Environment
23,Space Tech Startup Fund,All,Deep Tech,2000000,10000000,All,Support for space technology startups,Space tech focus; research-backed; commercial viability,Annual,https://www.isro.gov.in,Indian Space Research Organisation
24,Cybersecurity Innovation Fund,All,Seed,1000000,5000000,All,Support for cybersecurity startups,Cybersecurity focus; innovative solution; regulatory awareness,Rolling,https://www.cybersecurityfund.in,Ministry of Electronics & IT
25,AI and ML Innovation Fund,All,Seed,1000000,5000000,All,Support for AI/ML startups solving real problems,AI/ML technology core; problem-solution fit; market validation,Rolling,https://www.aimlstartupofindia.in,Ministry of Electronics & IT
26,ONDC Seller Support Program,All,Seed,500000,2000000,All,Support for sellers on Open Network for Digital Commerce,Registered on ONDC; retail/commerce focus; digital-first model,Rolling,https://ondc.org,Ministry of Commerce & Industry
27,Textile Tech Innovation Fund,All,All,500000,3000000,All,Support for technology startups in textile sector,Textile tech focus; industry problem solving; manufacturing link,Rolling,https://textiletechfund.in,Ministry of Textiles
